,rootnote,rootoctave,order,number,bpm,total_offset,initial_offset,red,green,blue,nature,instrument,amp,cutoff,pan,attack,release,mod_range,mod_phase,mix_reverb,mix_echo,pitch
0,0.9471821398692044,0.9831448114461951,0.4494958831444378,0.9804276772651738,0.41184219681335943,0.397626826829955,0.7512064102547262,0.42341629605607034,0.39216752757344486,0.27249953205999355,0.5861712599815916,0.38101468912515135,0.030670616198635314,0.2113652241200179,0.6555820736207659,0.12602806241609943,0.5195417276214942,0.24284019084665331,0.6524069706596589,0.6128976804711785,0.224787162555249,0.5672514507503998
1,0.5267318048437541,0.29760959159907263,0.7034815612802534,0.8727621463755167,0.8771638160381251,0.24176442672868115,0.8151727513058687,0.12615238715028743,0.6603114684096614,0.6736587702144211,0.7648971169815306,0.035912411051975957,0.3050640963979472,0.24770755846123416,0.7710095014665577,0.48189360503843526,0.620473216258607,0.431443088383733,0.5316617019301244,0.45150764188291126,0.032317495810932795,0.9706093343657556
2,0.7389113645329151,0.7829167429450544,0.5686424538118187,0.33206199315865814,0.7217907691571224,0.7907070040375163,0.8904784140686695,0.1497789104761882,0.9417624494450779,0.268985573337866,0.8534711354512832,0.8357468711836119,0.06766117872488275,0.5815944874383677,0.08130850282803614,0.9130028685558561,0.03253147456139127,0.9276407503252186,0.3924688201991574,0.5147219243983203,0.2878569415079675,0.7862225196847455
3,0.3522220144156306,0.3745086411419464,0.802417907663576,0.12400272211314156,0.17966114939129585,0.06262847037221342,0.46995154290946317,0.38732019909525495,0.42514409398008457,0.007990810633320744,0.8665243824769737,0.350107028366931,0.926245406204482,0.41436376758806626,0.4784763958149849,0.20262918097164984,0.6164984994709646,0.79415581983016,0.06606578784550698,0.3756973911455308,0.7512731216440643,0.5056399412082211
4,0.034764888188530074,0.0977274971851092,0.10242450153456673,0.1889703647110954,0.42292245119783045,0.5896154458303315,0.9966577014100589,0.22681371729163136,0.7736706499139514,0.6074885738381887,0.046157148517109725,0.12314099559439373,0.26440167591755515,0.6774054297060637,0.05502614999425448,0.8918445239027399,0.4197535967200079,0.768282572765361,0.17325355880108828,0.01632103482495917,0.24518511612837401,0.48320959380681594
5,0.41877453896803696,0.3154238991057494,0.741225029673062,0.902578323540819,0.5859981851483409,0.13321707253472825,0.6758301676311022,0.10200868555044129,0.7676510833508724,0.0436895243445804,0.9241756640114124,0.8518696580662956,0.37605104524149313,0.4006882585413226,0.7017142170618774,0.8513902678022351,0.5198076911282079,0.023039232139955512,0.3709798976089518,0.04559473043995166,0.5449502981987725,0.3849865046339125
6,0.34582121432074797,0.562731504151945,0.5964093808403083,0.3409964813765559,0.9260798542262162,0.02325478369110323,0.29585152570148365,0.036065499477495155,0.029072977546464207,0.36427891889451236,0.2816946477826284,0.16994816141171554,0.0820545696757029,0.7332345102308875,0.10259619272519072,0.9941963769238427,0.08332042648332971,0.3780593164723678,0.6290007057522039,0.985478661382374,0.567642307217303,0.4250210531425931
7,0.7975574807456727,0.7942840865196499,0.8749006154572302,0.972261330688157,0.6174868845536787,0.8022297467408308,0.3069346978591666,0.6855053279251484,0.6988023202176885,0.8792068210220699,0.459407255037102,0.4565117474394532,0.7634147166058587,0.3147516948396778,0.08752293792428945,0.39339008267581854,0.3226987918944505,0.5144310769121425,0.6541339488478822,0.946775443926977,0.9184337434304527,0.3030829688039737
8,0.5486745084653261,0.38934076348439683,0.7599614228802475,0.5402281683444982,0.9597692704105771,0.4142064344100801,0.3652810665309857,0.8910408428515497,0.4715347346302141,0.22540505078775686,0.2308194937100253,0.5594978009757604,0.6519674537978393,0.14991612195006387,0.183746156421024,0.8867830383917755,0.38996199269140797,0.24998508530909713,0.8862503068228255,0.6312894721510682,0.6189282442938647,0.5403769641969499
9,0.7857560063962687,0.24812404845070013,0.809048541339114,0.07130616528557665,0.10416431495136014,0.46086072744515394,0.6437375522181618,0.7660249992819523,0.47991400952066976,0.9859192952387466,0.17349943955622282,0.6938032261658544,0.33019190230056994,0.37401358602977597,0.2422296081553954,0.1588725787273878,0.7336870748509434,0.3362446756854548,0.16297176433535132,0.47380770379629356,0.8742662465000514,0.8745799454257489
